tipo_de_empresa,fundação_da_empresa,possui_mais_de_um_sócio,funcionários,meses_de_permanência,utiliza_serviços_financeiros,possuicontador,faz_conciliação_bancária,frequência_de_utilização_de_feature_do_sistema_módulo_financeiro,frequência_de_utilização_de_feature_do_sistema_emissão_de_nota_fiscal,frequência_de_utilização_de_feature_do_sistema_integração_bancária,frequência_de_utilização_de_feature_do_sistema_módulo_de_vendas,frequência_de_utilização_de_feature_do_sistema_relatórios,frequência_de_utilização_de_feature_do_sistema_utilização_de_apis_de_integração,contrato,emite_boletos,tipo_de_pagamento,receita_mensal,receita_total,churn
Pequena empresa,2018,Não,até 5 funcionários,21,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Anual,0,Boleto - mês a mês,19.6,390.4,Não
Pequena empresa,2009,Não,até 5 funcionários,1,Sim,Sim,manual,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Mês-a-mês,1,Boleto - pagamento único,93.55,93.55,Sim
Pequena empresa,2007,Não,até 5 funcionários,31,Sim,Sim,manual,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Mês-a-mês,1,Boleto - pagamento único,90.7,2845.15,Não
Micro empresa,2019,Não,até 5 funcionários,57,Sim,Não ,automática,Pouco uso,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Pouco uso,Anual,0,Boleto - mês a mês,69.75,3894.4,Não
Micro empresa,2019,Sim,6 ou mais funcionários,45,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Anual,1,Cartão de crédito - pagamento único,20.0,886.4,Não
Pequena empresa,2019,Não,até 5 funcionários,10,Sim,Sim,manual,Pouco uso,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Uso frequente,Mês-a-mês,1,Boleto - pagamento único,95.25,1021.55,Não
Micro empresa,2017,Sim,até 5 funcionários,58,Sim,Sim,manual,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Mês-a-mês,1,Cartão de crédito - mês a mês,102.1,5885.4,Sim
Pequena empresa,2017,Não,6 ou mais funcionários,14,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Mês-a-mês,0,Boleto - mês a mês,19.95,268.4,Não
Pequena empresa,2016,Sim,até 5 funcionários,27,Sim,Sim,automática,Uso frequente,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Uso frequente,Trimestral,0,Boleto - mês a mês,80.85,2204.35,Não
Micro empresa,2021,Sim,6 ou mais funcionários,14,Sim,Sim,manual,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Mês-a-mês,1,Cartão de crédito - pagamento único,90.9,1259.0,Sim
Micro empresa,2019,Sim,6 ou mais funcionários,12,Não,,automática,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,0,Boleto - mês a mês,29.2,309.1,Sim
Micro empresa,2021,Sim,6 ou mais funcionários,69,Sim,Sim,manual,Pouco uso,Uso frequente,Pouco uso,Uso frequente,Pouco uso,Uso frequente,Anual,1,Cartão de crédito - pagamento único,93.3,6398.05,Não
Micro empresa,2018,Sim,6 ou mais funcionários,25,Sim,Não ,manual,Pouco uso,Uso frequente,Uso frequente,Pouco uso,Uso frequente,Pouco uso,Mês-a-mês,1,Cartão de crédito - pagamento único,89.15,2257.75,Sim
Pequena empresa,2009,Sim,até 5 funcionários,58,Sim,Sim,manual,Uso frequente,Uso frequente,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Trimestral,1,Boleto - pagamento único,108.85,6287.25,Sim
Micro empresa,2017,Sim,6 ou mais funcionários,35,Não,,automática,Uso frequente,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Pouco uso,Anual,1,Cartão de crédito - mês a mês,46.35,1662.05,Não
Micro empresa,2011,Não,até 5 funcionários,16,Sim,Sim,manual,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Mês-a-mês,1,Boleto - pagamento único,84.75,1350.15,Sim
Pequena empresa,2020,Sim,6 ou mais funcionários,45,Sim,Sim,automática,Pouco uso,Uso frequente,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Trimestral,0,Cartão de crédito - mês a mês,78.75,3600.65,Não
Micro empresa,2021,Não,até 5 funcionários,17,Sim,Não ,manual,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Mês-a-mês,1,Boleto - pagamento único,83.55,1329.15,Não
Micro empresa,2020,Sim,6 ou mais funcionários,1,Sim,Não ,automática,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,1,Boleto - pagamento único,45.7,45.7,Sim
Pequena empresa,2018,Não,até 5 funcionários,22,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Trimestral,0,Boleto - mês a mês,19.6,422.5,Não
Micro empresa,2001,Não,até 5 funcionários,1,Sim,Não ,manual,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,1,Boleto - pagamento único,69.95,69.95,Sim
Pequena empresa,2016,Sim,6 ou mais funcionários,67,Sim,Não ,automática,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Pouco uso,Uso frequente,Anual,0,Boleto - mês a mês,67.85,4627.65,Não
Micro empresa,2019,Sim,6 ou mais funcionários,67,Sim,Sim,manual,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Anual,1,Cartão de crédito - pagamento único,105.65,6717.9,Não
Micro empresa,2021,Sim,até 5 funcionários,2,Não,,automática,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Mês-a-mês,0,Boleto - pagamento único,44.6,97.1,Sim
Pequena empresa,2018,Não,até 5 funcionários,23,Sim,Sim,manual,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,1,Boleto - pagamento único,74.95,1710.45,Sim
Micro empresa,2001,Não,até 5 funcionários,9,Sim,Não ,manual,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,0,Cartão de crédito - mês a mês,75.5,637.4,Não
Micro empresa,2019,Não,até 5 funcionários,5,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Mês-a-mês,0,Boleto - mês a mês,20.15,117.95,Não
Pequena empresa,2018,Não,até 5 funcionários,54,Não,,automática,Uso frequente,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Pouco uso,Anual,0,Cartão de crédito - mês a mês,45.2,2460.55,Não
Micro empresa,2021,Não,até 5 funcionários,57,Sim,Não ,manual,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Anual,1,Boleto - pagamento único,95.25,5464.65,Sim
Pequena empresa,2018,Não,até 5 funcionários,24,Sim,Sim,manual,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Uso frequente,Pouco uso,Mês-a-mês,1,Boleto - mês a mês,89.85,2165.05,Sim
Micro empresa,2020,Sim,6 ou mais funcionários,49,Sim,Sim,manual,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Trimestral,0,Boleto - mês a mês,100.45,4941.8,Sim
Pequena empresa,2021,Não,até 5 funcionários,5,Sim,Sim,automática,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,0,Boleto - pagamento único,47.15,223.15,Sim
Pequena empresa,2021,Não,até 5 funcionários,2,Sim,Não ,manual,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Mês-a-mês,1,Boleto - pagamento único,80.2,181.1,Sim
Micro empresa,2016,Não,6 ou mais funcionários,4,Sim,Sim,manual,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Mês-a-mês,1,Boleto - mês a mês,87.1,341.45,Sim
Pequena empresa,2017,Sim,6 ou mais funcionários,70,Sim,Sim,automática,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Pouco uso,Anual,1,Cartão de crédito - pagamento único,79.25,5731.85,Não
Pequena empresa,2017,Não,até 5 funcionários,5,Sim,Sim,manual,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,1,Cartão de crédito - pagamento único,75.9,357.75,Sim
Pequena empresa,2021,Sim,6 ou mais funcionários,53,Sim,Sim,automática,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Mês-a-mês,0,Boleto - pagamento único,85.7,4616.1,Não
Micro empresa,2021,Sim,até 5 funcionários,47,Sim,Sim,manual,Uso frequente,Uso frequente,Uso frequente,Pouco uso,Uso frequente,Pouco uso,Mês-a-mês,1,Boleto - pagamento único,98.75,4533.7,Sim
Micro empresa,2021,Não,6 ou mais funcionários,31,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Trimestral,0,Cartão de crédito - mês a mês,20.1,589.25,Não
Pequena empresa,2017,Sim,6 ou mais funcionários,13,Sim,Não ,automática,Pouco uso,Uso frequente,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Mês-a-mês,0,Cartão de crédito - pagamento único,61.8,750.1,Não
Micro empresa,2018,Sim,6 ou mais funcionários,28,Sim,Sim,automática,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,0,Boleto - mês a mês,49.9,1410.25,Não
Micro empresa,2016,Não,até 5 funcionários,10,Sim,Sim,manual,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Mês-a-mês,0,Boleto - pagamento único,86.45,830.85,Sim
Pequena empresa,2016,Sim,até 5 funcionários,38,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Anual,0,Cartão de crédito - pagamento único,20.4,743.5,Não
Micro empresa,2021,Não,até 5 funcionários,1,Sim,Não ,automática,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,1,Boleto - mês a mês,45.3,45.3,Sim
Pequena empresa,2018,Sim,até 5 funcionários,67,Sim,Sim,manual,Pouco uso,Uso frequente,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Trimestral,0,Boleto - pagamento único,104.1,7040.85,Sim
Pequena empresa,2021,Sim,até 5 funcionários,52,Sim,Não ,automática,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Trimestral,1,Boleto - mês a mês,75.4,3865.45,Não
Pequena empresa,2021,Sim,6 ou mais funcionários,62,Sim,Não ,manual,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Anual,0,Boleto - mês a mês,108.15,6825.65,Não
Micro empresa,2016,Não,até 5 funcionários,16,Sim,Não ,manual,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Mês-a-mês,1,Boleto - pagamento único,86.25,1340.1,Não
Micro empresa,2001,Sim,até 5 funcionários,5,Sim,Sim,manual,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,1,Boleto - pagamento único,81.0,371.65,Sim
Pequena empresa,2018,Não,até 5 funcionários,12,Sim,Não ,manual,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Trimestral,0,Boleto - pagamento único,95.7,1184.0,Não
Micro empresa,2021,Sim,6 ou mais funcionários,72,Sim,Sim,manual,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Anual,1,Cartão de crédito - pagamento único,116.85,8477.7,Não
Pequena empresa,2008,Não,até 5 funcionários,71,Sim,Sim,manual,Pouco uso,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Uso frequente,Trimestral,0,Cartão de crédito - pagamento único,105.75,7382.85,Não
Micro empresa,2020,Sim,até 5 funcionários,24,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Trimestral,0,Boleto - mês a mês,20.15,456.85,Não
Micro empresa,2018,Não,até 5 funcionários,15,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Anual,0,Boleto - mês a mês,19.6,331.6,Não
Pequena empresa,2021,Sim,até 5 funcionários,67,Sim,Não ,manual,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Trimestral,1,Cartão de crédito - mês a mês,90.6,6056.15,Sim
Pequena empresa,2016,Não,6 ou mais funcionários,2,Sim,Sim,automática,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,0,Cartão de crédito - pagamento único,60.95,134.6,Não
Micro empresa,2021,Sim,6 ou mais funcionários,5,Não,,automática,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,0,Boleto - mês a mês,25.05,125.5,Não
Micro empresa,2019,Sim,até 5 funcionários,15,Sim,Não ,manual,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Mês-a-mês,0,Boleto - pagamento único,88.15,1390.6,Sim
Pequena empresa,2016,Não,até 5 funcionários,1,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Mês-a-mês,1,Boleto - mês a mês,20.2,20.2,Sim
Pequena empresa,2016,Sim,6 ou mais funcionários,41,Sim,Não ,automática,Uso frequente,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Trimestral,1,Cartão de crédito - pagamento único,60.3,2511.3,Não
Micro empresa,2017,Não,6 ou mais funcionários,43,Sim,Não ,automática,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Mês-a-mês,1,Boleto - pagamento único,63.95,2737.05,Não
Pequena empresa,2002,Sim,até 5 funcionários,1,Sim,Sim,manual,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,0,Boleto - pagamento único,74.3,74.3,Não
Micro empresa,2008,Não,até 5 funcionários,1,Sim,Não ,manual,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,1,Boleto - mês a mês,70.6,70.6,Não
Micro empresa,2016,Sim,6 ou mais funcionários,26,Sim,Não ,manual,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Mês-a-mês,1,Boleto - pagamento único,90.8,2361.8,Sim
Pequena empresa,2020,Não,até 5 funcionários,22,Sim,Sim,manual,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,1,Boleto - pagamento único,79.35,1730.35,Sim
Pequena empresa,2020,Sim,até 5 funcionários,71,Sim,Sim,automática,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Anual,0,Cartão de crédito - pagamento único,90.55,6404.0,Não
Pequena empresa,2020,Não,até 5 funcionários,7,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Anual,0,Boleto - mês a mês,19.45,165.35,Não
Micro empresa,2010,Não,até 5 funcionários,28,Sim,Sim,automática,Pouco uso,Uso frequente,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Mês-a-mês,0,Cartão de crédito - pagamento único,64.45,1867.6,Não
Pequena empresa,2009,Não,até 5 funcionários,16,Sim,Não ,manual,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,0,Boleto - pagamento único,69.65,1043.3,Não
Pequena empresa,2016,Não,até 5 funcionários,7,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Trimestral,0,Boleto - mês a mês,19.5,128.6,Não
Micro empresa,2020,Não,até 5 funcionários,69,Sim,Sim,manual,Pouco uso,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Anual,1,Cartão de crédito - pagamento único,110.5,7455.45,Não
Micro empresa,2020,Não,6 ou mais funcionários,1,Não,,automática,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,0,Boleto - mês a mês,24.7,24.7,Não
Pequena empresa,2019,Não,até 5 funcionários,3,Sim,Não ,automática,Uso frequente,Pouco uso,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Mês-a-mês,1,Boleto - pagamento único,77.4,206.15,Não
Pequena empresa,2009,Não,até 5 funcionários,21,Sim,Não ,manual,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Mês-a-mês,1,Cartão de crédito - pagamento único,96.8,2030.3,Sim
Micro empresa,2020,Sim,até 5 funcionários,69,Sim,Sim,manual,Pouco uso,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,1,Cartão de crédito - pagamento único,85.4,5869.4,Não
Micro empresa,2017,Sim,até 5 funcionários,71,Não,,automática,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Anual,1,Cartão de crédito - pagamento único,47.6,3377.8,Não
Micro empresa,2017,Sim,6 ou mais funcionários,69,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Anual,0,Boleto - mês a mês,19.4,1346.2,Não
Micro empresa,2018,Não,até 5 funcionários,48,Sim,Sim,manual,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Mês-a-mês,1,Boleto - pagamento único,103.85,4946.05,Não
Pequena empresa,2018,Sim,até 5 funcionários,47,Sim,Sim,manual,Pouco uso,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,1,Cartão de crédito - pagamento único,83.35,4065.0,Sim
Micro empresa,2016,Não,até 5 funcionários,2,Sim,Sim,automática,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,1,Boleto - pagamento único,49.4,106.55,Sim
Pequena empresa,2017,Não,até 5 funcionários,45,Sim,Sim,manual,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Mês-a-mês,1,Cartão de crédito - mês a mês,108.45,4964.7,Não
Pequena empresa,2019,Não,até 5 funcionários,51,Sim,Sim,manual,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,0,Cartão de crédito - pagamento único,81.0,4085.75,Não
Micro empresa,2019,Sim,até 5 funcionários,22,Sim,Sim,automática,Uso frequente,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Uso frequente,Mês-a-mês,1,Boleto - pagamento único,79.2,1742.75,Sim
Pequena empresa,2018,Não,até 5 funcionários,72,Sim,Sim,automática,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Anual,0,Cartão de crédito - pagamento único,86.65,6224.8,Não
Pequena empresa,2018,Sim,6 ou mais funcionários,37,Sim,Sim,manual,Pouco uso,Uso frequente,Uso frequente,Pouco uso,Uso frequente,Pouco uso,Mês-a-mês,1,Boleto - pagamento único,92.95,3415.25,Não
Pequena empresa,2020,Sim,6 ou mais funcionários,71,Sim,Sim,automática,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Anual,0,Boleto - pagamento único,90.35,6325.25,Não
Pequena empresa,2020,Sim,6 ou mais funcionários,7,Sim,Não ,automática,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,0,Boleto - pagamento único,48.7,340.25,Sim
Micro empresa,2018,Não,até 5 funcionários,66,Sim,Sim,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Anual,1,Cartão de crédito - mês a mês,25.15,1683.6,Não
Pequena empresa,2020,Sim,6 ou mais funcionários,51,Sim,Não ,automática,Uso frequente,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Uso frequente,Trimestral,1,Cartão de crédito - pagamento único,76.4,3966.3,Não
Micro empresa,2016,Sim,6 ou mais funcionários,30,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Trimestral,0,Cartão de crédito - pagamento único,19.55,608.5,Não
Micro empresa,2020,Não,até 5 funcionários,34,Sim,Sim,manual,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Mês-a-mês,0,Boleto - pagamento único,85.35,2896.6,Não
Pequena empresa,2020,Sim,6 ou mais funcionários,64,Sim,Sim,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Anual,1,Boleto - mês a mês,24.8,1514.85,Não
Pequena empresa,2011,Sim,até 5 funcionários,65,Sim,Sim,manual,Pouco uso,Uso frequente,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Trimestral,1,Cartão de crédito - pagamento único,103.15,6792.45,Não
Pequena empresa,2018,Não,até 5 funcionários,47,Sim,Sim,manual,Uso frequente,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Pouco uso,Mês-a-mês,0,Boleto - mês a mês,100.75,4669.2,Não
Micro empresa,2018,Não,até 5 funcionários,1,Sim,Não ,manual,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Mês-a-mês,1,Boleto - pagamento único,95.6,95.6,Sim
Micro empresa,2018,Não,até 5 funcionários,49,Sim,Sim,automática,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,1,Cartão de crédito - mês a mês,59.75,2934.3,Sim
Micro empresa,2018,Sim,6 ou mais funcionários,67,Sim,Sim,manual,Pouco uso,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Pouco uso,Anual,0,Cartão de crédito - mês a mês,94.1,6302.8,Não
Pequena empresa,2020,Não,6 ou mais funcionários,39,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Trimestral,0,Cartão de crédito - pagamento único,19.35,779.2,Não
Pequena empresa,2020,Não,até 5 funcionários,14,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Mês-a-mês,0,Boleto - mês a mês,19.9,283.75,Não
Micro empresa,2012,Não,até 5 funcionários,43,Sim,Não ,manual,Uso frequente,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Uso frequente,Mês-a-mês,1,Cartão de crédito - mês a mês,108.15,4600.7,Sim
Pequena empresa,2001,Não,até 5 funcionários,56,Sim,Sim,manual,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Mês-a-mês,1,Boleto - pagamento único,101.05,5594.0,Não
Micro empresa,2016,Não,até 5 funcionários,14,Sim,Não ,automática,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Uso frequente,Trimestral,0,Cartão de crédito - mês a mês,59.1,772.85,Não
Micro empresa,2017,Não,até 5 funcionários,1,Sim,Não ,manual,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,0,Boleto - pagamento único,71.35,71.35,Sim
Pequena empresa,2018,Sim,6 ou mais funcionários,16,Sim,Não ,automática,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Trimestral,1,Boleto - mês a mês,55.85,857.8,Não
Pequena empresa,2016,Sim,6 ou mais funcionários,70,Sim,Sim,manual,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Mês-a-mês,1,Boleto - pagamento único,106.05,7554.05,Não
Pequena empresa,2014,Sim,até 5 funcionários,72,Sim,Sim,automática,Uso frequente,Uso frequente,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Anual,1,Cartão de crédito - mês a mês,84.1,5981.65,Não
Micro empresa,2017,Sim,6 ou mais funcionários,23,Sim,Não ,manual,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,1,Cartão de crédito - mês a mês,75.3,1702.9,Não
Pequena empresa,2016,Não,6 ou mais funcionários,21,Sim,Sim,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Mês-a-mês,0,Boleto - mês a mês,24.7,467.15,Não
Micro empresa,2021,Não,até 5 funcionários,1,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Mês-a-mês,1,Boleto - mês a mês,20.15,20.15,Sim
Pequena empresa,2021,Não,6 ou mais funcionários,1,Sim,Não ,manual,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,0,Cartão de crédito - pagamento único,69.75,69.75,Sim
Micro empresa,2003,Sim,até 5 funcionários,32,Sim,Sim,manual,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Mês-a-mês,1,Boleto - pagamento único,93.2,2931.0,Sim
Pequena empresa,2017,Sim,6 ou mais funcionários,17,Sim,Não ,manual,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Mês-a-mês,0,Boleto - pagamento único,80.85,1400.85,Sim
Micro empresa,2017,Não,até 5 funcionários,4,Não,,automática,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,1,Boleto - pagamento único,33.65,137.85,Sim
Micro empresa,2017,Não,até 5 funcionários,36,Sim,Sim,automática,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Trimestral,0,Boleto - pagamento único,55.8,1941.5,Não
Micro empresa,2019,Não,até 5 funcionários,50,Não,,automática,Pouco uso,Uso frequente,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Anual,0,Cartão de crédito - mês a mês,39.7,1932.75,Não
Micro empresa,2017,Sim,6 ou mais funcionários,48,Não,,automática,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Mês-a-mês,1,Cartão de crédito - mês a mês,29.5,1423.05,Não
Micro empresa,2018,Não,6 ou mais funcionários,50,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Anual,0,Cartão de crédito - mês a mês,20.15,970.85,Não
Pequena empresa,2017,Sim,até 5 funcionários,72,Sim,Sim,automática,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Pouco uso,Uso frequente,Anual,0,Cartão de crédito - mês a mês,79.55,5810.9,Não
Pequena empresa,2016,Não,6 ou mais funcionários,10,Sim,Sim,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Mês-a-mês,0,Cartão de crédito - mês a mês,24.8,223.9,Não
