ID,Tipo de empresa,Fundação da empresa,Possui mais de um sócio,Funcionários,Meses de permanência ,Utiliza serviços financeiros,PossuiContador,Faz conciliação bancária,Frequência de utilização de feature do sistema: Módulo financeiro,Frequência de utilização de feature do sistema: Emissão de nota fiscal,Frequência de utilização de feature do sistema: Integração bancária,Frequência de utilização de feature do sistema: Módulo de vendas,Frequência de utilização de feature do sistema: Relatórios,Frequência de utilização de feature do sistema: Utilização de APIs de integração,Contrato,Emite boletos,Emite boletos,Tipo de pagamento,Receita mensal,Receita total,Churn
1254,Micro empresa,2018,Não,até 5 funcionários,7,Sim,Não ,manual,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Mês-a-mês,1,Yes,Boleto - pagamento único,"R$ 79,30","R$ 523,15",Sim
1255,Micro empresa,2008,Sim,até 5 funcionários,55,Sim,Não ,manual,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Uso frequente,Pouco uso,Anual,0,No,Cartão de crédito - mês a mês,"R$ 88,80","R$ 4.805,30",Não
1256,Micro empresa,2017,Não,até 5 funcionários,2,Não,NaN,automática,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Mês-a-mês,1,Yes,Boleto - pagamento único,"R$ 30,90","R$ 59,05",Sim
1257,Micro empresa,2016,Sim,6 ou mais funcionários,72,Sim,Sim,automática,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Anual,1,Yes,Cartão de crédito - mês a mês,"R$ 85,90","R$ 6.110,75",Não
1258,Micro empresa,2002,Não,até 5 funcionários,45,Não,NaN,automática,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Trimestral,0,No,Boleto - pagamento único,"R$ 34,20","R$ 1.596,60",Não
1259,Micro empresa,2018,Não,até 5 funcionários,47,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Anual,0,No,Boleto - mês a mês,"R$ 20,15","R$ 1.046,20",Não
1260,Micro empresa,2011,Não,até 5 funcionários,46,Sim,Não ,manual,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Trimestral,0,No,Cartão de crédito - mês a mês,"R$ 95,25","R$ 4.424,20",Sim
1261,Pequena empresa,2016,Não,até 5 funcionários,2,Sim,Não ,automática,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,1,Yes,Boleto - mês a mês,"R$ 50,30","R$ 92,75",Não
1262,Micro empresa,2019,Sim,até 5 funcionários,2,Sim,Não ,manual,Uso frequente,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Mês-a-mês,1,Yes,Boleto - pagamento único,"R$ 80,15","R$ 194,55",Não
1263,Micro empresa,2016,Sim,até 5 funcionários,12,Sim,Não ,automática,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,1,Yes,Boleto - pagamento único,"R$ 51,25","R$ 612,10",Não
1264,Micro empresa,2013,Sim,até 5 funcionários,68,Sim,Sim,manual,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Mês-a-mês,1,Yes,Cartão de crédito - pagamento único,"R$ 89,60","R$ 6.127,60",Sim
1265,Pequena empresa,2016,Sim,6 ou mais funcionários,69,Sim,Não ,manual,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Uso frequente,Anual,1,Yes,Cartão de crédito - mês a mês,"R$ 95,20","R$ 6.671,70",Não
1266,Pequena empresa,2007,Não,6 ou mais funcionários,56,Sim,Não ,manual,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Trimestral,0,No,Cartão de crédito - mês a mês,"R$ 94,80","R$ 5.264,30",Não
1267,Micro empresa,2014,Não,até 5 funcionários,4,Sim,Sim,manual,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,1,Yes,Boleto - pagamento único,"R$ 80,25","R$ 303,70",Não
1268,Pequena empresa,2021,Sim,até 5 funcionários,64,Sim,Sim,automática,Pouco uso,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Pouco uso,Anual,1,Yes,Cartão de crédito - pagamento único,"R$ 76,10","R$ 4.818,80",Não
1269,Pequena empresa,2016,Sim,até 5 funcionários,59,Sim,Sim,manual,Uso frequente,Uso frequente,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Trimestral,1,Yes,Boleto - pagamento único,"R$ 110,15","R$ 6.448,05",Sim
1270,Pequena empresa,2016,Sim,6 ou mais funcionários,62,Sim,Sim,manual,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Anual,0,No,Cartão de crédito - pagamento único,"R$ 115,55","R$ 7.159,05",Não
1271,Pequena empresa,2016,Sim,6 ou mais funcionários,63,Sim,Sim,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Anual,0,No,Cartão de crédito - mês a mês,"R$ 24,65","R$ 1.574,50",Não
1272,Micro empresa,2016,Não,até 5 funcionários,53,Não,NaN,automática,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Pouco uso,Trimestral,1,Yes,Boleto - pagamento único,"R$ 53,60","R$ 2.879,20",Não
1273,Pequena empresa,2021,Sim,6 ou mais funcionários,5,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Mês-a-mês,0,No,Boleto - mês a mês,"R$ 19,45","R$ 86,05",Não
1274,Pequena empresa,2012,Sim,até 5 funcionários,49,Sim,Sim,manual,Uso frequente,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,1,Yes,Boleto - pagamento único,"R$ 88,20","R$ 4.159,45",Não
1275,Micro empresa,2020,Sim,6 ou mais funcionários,62,Sim,Sim,manual,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Anual,1,Yes,Cartão de crédito - pagamento único,"R$ 101,15","R$ 6.638,35",Não
1276,Micro empresa,2019,Sim,até 5 funcionários,55,Sim,Não ,automática,Uso frequente,Uso frequente,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Anual,0,No,Boleto - mês a mês,"R$ 56,80","R$ 3.112,05",Não
1277,Micro empresa,2014,Sim,até 5 funcionários,71,Sim,Não ,manual,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Pouco uso,Anual,1,Yes,Boleto - pagamento único,"R$ 99,40","R$ 7.168,25",Não
1278,Micro empresa,2021,Sim,6 ou mais funcionários,72,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Anual,1,Yes,Cartão de crédito - mês a mês,"R$ 20,10","R$ 1.326,25",Não
1279,Pequena empresa,2021,Sim,6 ou mais funcionários,36,Não,NaN,automática,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Trimestral,0,No,Cartão de crédito - mês a mês,"R$ 60,70","R$ 2.234,55",Não
1280,Pequena empresa,2021,Sim,até 5 funcionários,25,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Trimestral,1,Yes,Cartão de crédito - pagamento único,"R$ 20,95","R$ 495,15",Não
1281,Micro empresa,2003,Sim,até 5 funcionários,72,Sim,Sim,manual,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Anual,1,Yes,Cartão de crédito - pagamento único,"R$ 114,85","R$ 8.317,95",Não
1282,Micro empresa,2019,Não,até 5 funcionários,36,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Trimestral,1,Yes,Cartão de crédito - pagamento único,"R$ 19,25","R$ 679,80",Não
1283,Pequena empresa,2018,Não,até 5 funcionários,1,Sim,Não ,automática,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Mês-a-mês,1,Yes,Boleto - mês a mês,"R$ 62,80","R$ 62,80",Não
1284,Micro empresa,2018,Sim,até 5 funcionários,72,Sim,Sim,manual,Uso frequente,Pouco uso,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Anual,1,Yes,Boleto - pagamento único,"R$ 105,50","R$ 7.544,00",Não
1285,Pequena empresa,2016,Sim,6 ou mais funcionários,59,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Anual,0,No,Boleto - mês a mês,"R$ 19,85","R$ 1.188,25",Não
1286,Pequena empresa,2001,Sim,até 5 funcionários,7,Sim,Não ,manual,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Mês-a-mês,1,Yes,Boleto - pagamento único,"R$ 89,50","R$ 676,70",Sim
1287,Micro empresa,2017,Não,até 5 funcionários,1,Sim,Não ,automática,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Trimestral,0,No,Cartão de crédito - mês a mês,"R$ 74,10","R$ 74,10",Não
1288,Micro empresa,2017,Sim,6 ou mais funcionários,30,Sim,Sim,manual,Pouco uso,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Mês-a-mês,1,Yes,Boleto - pagamento único,"R$ 107,50","R$ 3.242,50",Não
1289,Pequena empresa,2016,Não,até 5 funcionários,64,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Anual,0,No,Boleto - mês a mês,"R$ 19,55","R$ 1.240,15",Não
1290,Pequena empresa,2017,Não,até 5 funcionários,63,Sim,Sim,automática,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Trimestral,0,No,Cartão de crédito - pagamento único,"R$ 68,80","R$ 4.111,35",Não
1291,Pequena empresa,2005,Sim,até 5 funcionários,72,Sim,Sim,automática,Uso frequente,Uso frequente,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Anual,0,No,Cartão de crédito - mês a mês,"R$ 84,45","R$ 5.899,85",Não
1292,Pequena empresa,2020,Sim,até 5 funcionários,8,Sim,Não ,manual,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,0,No,Boleto - pagamento único,"R$ 75,00","R$ 632,95",Sim
1293,Micro empresa,2020,Não,até 5 funcionários,62,Sim,Sim,automática,Pouco uso,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Anual,0,No,Cartão de crédito - pagamento único,"R$ 84,50","R$ 5.193,20",Não
1294,Pequena empresa,2021,Sim,6 ou mais funcionários,67,Sim,Sim,manual,Pouco uso,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Anual,1,Yes,Cartão de crédito - pagamento único,"R$ 111,20","R$ 7.530,80",Não
1295,Pequena empresa,2017,Não,até 5 funcionários,6,Sim,Não ,automática,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,0,No,Boleto - pagamento único,"R$ 44,75","R$ 270,95",Sim
1296,Micro empresa,2019,Sim,6 ou mais funcionários,70,Sim,Sim,automática,Uso frequente,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Uso frequente,Anual,1,Yes,Cartão de crédito - pagamento único,"R$ 80,60","R$ 5.460,20",Não
1297,Micro empresa,2013,Não,até 5 funcionários,20,Sim,Não ,manual,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Mês-a-mês,0,No,Cartão de crédito - pagamento único,"R$ 80,70","R$ 1.614,20",Não
1298,Micro empresa,2020,Não,até 5 funcionários,5,Sim,Sim,manual,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,0,No,Boleto - pagamento único,"R$ 75,60","R$ 402,50",Não
1299,Micro empresa,2017,Sim,6 ou mais funcionários,24,Não,NaN,automática,Uso frequente,Uso frequente,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Trimestral,0,No,Boleto - pagamento único,"R$ 57,60","R$ 1.367,75",Não
1300,Micro empresa,2016,Sim,até 5 funcionários,11,Sim,Não ,automática,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,1,Yes,Boleto - pagamento único,"R$ 44,05","R$ 483,70",Sim
1301,Pequena empresa,2018,Sim,até 5 funcionários,72,Sim,Sim,manual,Pouco uso,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Anual,1,Yes,Cartão de crédito - mês a mês,"R$ 110,60","R$ 7.962,20",Não
1302,Micro empresa,2020,Sim,6 ou mais funcionários,66,Sim,Não ,automática,Uso frequente,Uso frequente,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Anual,1,Yes,Cartão de crédito - mês a mês,"R$ 58,20","R$ 3.810,80",Não
1303,Micro empresa,2016,Sim,6 ou mais funcionários,45,Sim,Não ,automática,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Anual,1,Yes,Boleto - mês a mês,"R$ 81,00","R$ 3.533,60",Não
1304,Micro empresa,2017,Sim,6 ou mais funcionários,69,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Anual,0,No,Cartão de crédito - pagamento único,"R$ 19,70","R$ 1.396,90",Não
1305,Pequena empresa,2010,Sim,até 5 funcionários,15,Sim,Sim,manual,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Mês-a-mês,1,Yes,Cartão de crédito - pagamento único,"R$ 85,60","R$ 1.345,55",Sim
1306,Micro empresa,2018,Não,até 5 funcionários,28,Sim,Não ,automática,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Uso frequente,Pouco uso,Mês-a-mês,1,Yes,Cartão de crédito - pagamento único,"R$ 59,55","R$ 1.646,45",Não
1307,Micro empresa,2020,Não,até 5 funcionários,70,Sim,Sim,manual,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Trimestral,0,No,Cartão de crédito - mês a mês,"R$ 115,55","R$ 8.127,60",Sim
1308,Micro empresa,2020,Não,até 5 funcionários,36,Sim,Não ,automática,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Pouco uso,Uso frequente,Trimestral,1,Yes,Boleto - mês a mês,"R$ 75,55","R$ 2.680,15",Não
1309,Pequena empresa,2004,Não,até 5 funcionários,16,Sim,Sim,manual,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Mês-a-mês,1,Yes,Boleto - pagamento único,"R$ 86,60","R$ 1.281,00",Sim
1310,Micro empresa,2018,Não,até 5 funcionários,18,Sim,Sim,manual,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Mês-a-mês,1,Yes,Boleto - pagamento único,"R$ 85,20","R$ 1.553,90",Sim
1311,Micro empresa,2017,Sim,até 5 funcionários,34,Sim,Sim,manual,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Mês-a-mês,1,Yes,Boleto - pagamento único,"R$ 97,65","R$ 3.207,55",Sim
1312,Pequena empresa,2021,Sim,6 ou mais funcionários,42,Não,NaN,automática,Pouco uso,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Uso frequente,Trimestral,1,Yes,Cartão de crédito - mês a mês,"R$ 45,10","R$ 2.049,05",Não
1313,Pequena empresa,2020,Não,até 5 funcionários,48,Sim,Sim,automática,Uso frequente,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Uso frequente,Trimestral,1,Yes,Cartão de crédito - pagamento único,"R$ 70,95","R$ 3.629,20",Não
1314,Pequena empresa,2020,Sim,até 5 funcionários,47,Sim,Sim,manual,Pouco uso,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Mês-a-mês,1,Yes,Boleto - pagamento único,"R$ 109,55","R$ 5.124,55",Sim
1315,Micro empresa,2018,Sim,6 ou mais funcionários,39,Sim,Sim,manual,Pouco uso,Uso frequente,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Trimestral,1,Yes,Boleto - pagamento único,"R$ 89,55","R$ 3.474,45",Sim
1316,Micro empresa,2019,Sim,6 ou mais funcionários,11,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Anual,0,No,Cartão de crédito - mês a mês,"R$ 20,90","R$ 202,30",Não
1317,Pequena empresa,2018,Não,até 5 funcionários,7,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Mês-a-mês,1,Yes,Boleto - mês a mês,"R$ 19,95","R$ 147,50",Não
1318,Micro empresa,2016,Não,até 5 funcionários,3,Sim,Sim,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Mês-a-mês,0,No,Boleto - mês a mês,"R$ 24,60","R$ 86,35",Não
1319,Pequena empresa,2018,Não,até 5 funcionários,8,Sim,Não ,automática,Uso frequente,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Uso frequente,Mês-a-mês,1,Yes,Boleto - pagamento único,"R$ 66,70","R$ 579,00",Não
1320,Pequena empresa,2021,Não,6 ou mais funcionários,1,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Mês-a-mês,1,Yes,Boleto - mês a mês,"R$ 19,45","R$ 19,45",Sim
1321,Pequena empresa,2017,Sim,6 ou mais funcionários,32,Sim,Não ,manual,Uso frequente,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Uso frequente,Trimestral,0,No,Boleto - mês a mês,"R$ 94,80","R$ 3.131,55",Não
1322,Pequena empresa,2016,Sim,6 ou mais funcionários,60,Sim,Não ,automática,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Trimestral,1,Yes,Cartão de crédito - pagamento único,"R$ 65,85","R$ 3.928,30",Não
1323,Micro empresa,2019,Sim,até 5 funcionários,10,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Mês-a-mês,1,Yes,Cartão de crédito - pagamento único,"R$ 19,95","R$ 187,75",Não
1324,Micro empresa,2017,Sim,até 5 funcionários,71,Sim,Sim,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Anual,1,Yes,Cartão de crédito - pagamento único,"R$ 24,65","R$ 1.710,15",Não
1325,Micro empresa,2016,Sim,6 ou mais funcionários,4,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Mês-a-mês,0,No,Boleto - mês a mês,"R$ 20,35","R$ 76,35",Sim
1326,Micro empresa,2003,Não,até 5 funcionários,1,Sim,Não ,manual,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,1,Yes,Boleto - pagamento único,"R$ 69,25","R$ 69,25",Sim
1327,Micro empresa,2017,Sim,6 ou mais funcionários,43,Não,NaN,automática,Uso frequente,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Pouco uso,Trimestral,1,Yes,Cartão de crédito - pagamento único,"R$ 51,25","R$ 2.151,60",Não
1328,Pequena empresa,2016,Sim,até 5 funcionários,59,Sim,Sim,manual,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Trimestral,1,Yes,Cartão de crédito - pagamento único,"R$ 99,50","R$ 5.961,10",Sim
1329,Micro empresa,2020,Sim,até 5 funcionários,23,Sim,Não ,automática,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Mês-a-mês,0,No,Boleto - pagamento único,"R$ 54,25","R$ 1.221,55",Não
1330,Micro empresa,2016,Sim,até 5 funcionários,72,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Anual,0,No,Cartão de crédito - pagamento único,"R$ 19,40","R$ 1.496,45",Não
1331,Pequena empresa,2017,Sim,até 5 funcionários,22,Sim,Não ,automática,Uso frequente,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Trimestral,1,Yes,Cartão de crédito - mês a mês,"R$ 56,25","R$ 1.292,20",Não
1332,Micro empresa,2016,Não,até 5 funcionários,1,Não,NaN,automática,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,1,Yes,Boleto - mês a mês,"R$ 25,15","R$ 25,15",Não
1333,Pequena empresa,2020,Não,até 5 funcionários,69,Sim,Sim,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Anual,0,No,Cartão de crédito - pagamento único,"R$ 23,95","R$ 1.713,10",Não
1334,Pequena empresa,2016,Não,até 5 funcionários,50,Não,NaN,automática,Uso frequente,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Trimestral,1,Yes,Boleto - mês a mês,"R$ 35,40","R$ 1.748,90",Não
1335,Micro empresa,2001,Não,até 5 funcionários,1,Não,NaN,automática,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,1,Yes,Boleto - pagamento único,"R$ 25,20","R$ 25,20",Sim
1336,Pequena empresa,2019,Não,até 5 funcionários,2,Sim,Não ,automática,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,1,Yes,Boleto - mês a mês,"R$ 45,00","R$ 96,45",Sim
1337,Micro empresa,2017,Sim,até 5 funcionários,15,Sim,Não ,manual,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,0,No,Cartão de crédito - pagamento único,"R$ 75,35","R$ 1.114,55",Não
1338,Pequena empresa,2017,Não,até 5 funcionários,31,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Anual,0,No,Cartão de crédito - pagamento único,"R$ 20,40","R$ 609,10",Não
1339,Pequena empresa,2018,Não,até 5 funcionários,1,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Mês-a-mês,0,No,Boleto - mês a mês,"R$ 20,15","R$ 20,15",Sim
1340,Pequena empresa,2021,Sim,até 5 funcionários,66,Sim,Sim,manual,Pouco uso,Uso frequente,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Mês-a-mês,1,Yes,Cartão de crédito - mês a mês,"R$ 105,00","R$ 7.133,25",Sim
1341,Micro empresa,2019,Sim,6 ou mais funcionários,0,Não,NaN,automática,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Pouco uso,Anual,0,No,Cartão de crédito - mês a mês,"R$ 56,05",,Não
1342,Pequena empresa,2021,Não,6 ou mais funcionários,3,Sim,Não ,automática,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Mês-a-mês,1,Yes,Cartão de crédito - mês a mês,"R$ 54,70","R$ 169,45",Sim
1343,Micro empresa,2020,Não,até 5 funcionários,8,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Anual,0,No,Boleto - mês a mês,"R$ 20,00","R$ 141,60",Não
1344,Pequena empresa,2016,Sim,6 ou mais funcionários,64,Sim,Não ,automática,Uso frequente,Pouco uso,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Trimestral,1,Yes,Cartão de crédito - mês a mês,"R$ 73,05","R$ 4.688,65",Não
1345,Micro empresa,2019,Sim,até 5 funcionários,28,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Mês-a-mês,0,No,Boleto - mês a mês,"R$ 20,50","R$ 563,05",Não
1346,Micro empresa,2017,Sim,até 5 funcionários,57,Sim,Sim,manual,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Trimestral,1,Yes,Cartão de crédito - mês a mês,"R$ 100,75","R$ 5.985,00",Não
1347,Micro empresa,2019,Sim,6 ou mais funcionários,14,Sim,Sim,manual,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Uso frequente,Mês-a-mês,1,Yes,Boleto - pagamento único,"R$ 87,25","R$ 1.258,60",Sim
1348,Pequena empresa,2021,Não,até 5 funcionários,19,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Anual,1,Yes,Boleto - mês a mês,"R$ 19,95","R$ 373,50",Não
1349,Pequena empresa,2021,Sim,até 5 funcionários,10,Sim,Não ,manual,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Mês-a-mês,1,Yes,Boleto - pagamento único,"R$ 79,95","R$ 857,20",Sim
1350,Micro empresa,2020,Sim,até 5 funcionários,51,Não,NaN,automática,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Mês-a-mês,1,Yes,Boleto - pagamento único,"R$ 49,65","R$ 2.553,35",Não
1351,Micro empresa,2018,Sim,até 5 funcionários,67,Sim,Sim,automática,Uso frequente,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Anual,0,No,Boleto - mês a mês,"R$ 65,65","R$ 4.322,85",Não
1352,Pequena empresa,2016,Sim,6 ou mais funcionários,11,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Mês-a-mês,1,Yes,Boleto - pagamento único,"R$ 20,45","R$ 250,80",Não
1353,Pequena empresa,2020,Sim,6 ou mais funcionários,72,Não,NaN,automática,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Anual,0,No,Cartão de crédito - pagamento único,"R$ 60,95","R$ 4.549,05",Não
1354,Pequena empresa,2019,Sim,6 ou mais funcionários,66,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Trimestral,1,Yes,Boleto - pagamento único,"R$ 20,35","R$ 1.359,50",Não
1355,Micro empresa,2019,Não,até 5 funcionários,18,Sim,Sim,manual,Pouco uso,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Pouco uso,Mês-a-mês,1,Yes,Boleto - pagamento único,"R$ 88,35","R$ 1.639,30",Sim
1356,Micro empresa,2021,Não,até 5 funcionários,9,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Mês-a-mês,1,Yes,Boleto - pagamento único,"R$ 19,50","R$ 178,85",Não
1357,Micro empresa,2019,Não,até 5 funcionários,9,Sim,Sim,manual,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,1,Yes,Cartão de crédito - mês a mês,"R$ 75,20","R$ 633,85",Não
